# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=176400 alt=9 bInterval=3 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927181648,538,0,0,-536870168
927181649,538,0,0,-536870168
927181650,538,532,88,-536870169
927181651,538,532,88,-536870169
927181652,538,532,88,-536870169
927181653,538,532,88,-536870169
927181654,538,538,89,-536870168
927181655,538,532,88,-536870169
927181656,538,532,88,-536870169
927181657,538,532,88,-536870169
927181658,538,532,88,-536870169
927181659,538,538,89,-536870168
927181660,538,532,88,-536870169
927181661,538,532,88,-536870169
927181662,538,532,88,-536870169
927181663,538,532,88,-536870169
927181664,538,538,89,0
927181665,538,532,88,-536870169
927181666,538,532,88,-536870169
927181667,538,532,88,-536870169
927181668,538,532,88,-536870169
927181669,538,538,89,0
927181670,538,532,88,-536870169
927181671,538,532,88,-536870169
927181672,538,532,88,-536870169
927181673,538,532,88,-536870169
927181674,538,538,89,0
927181675,538,532,88,-536870169
927181676,538,532,88,-536870169
927181677,538,532,88,-536870169
927181678,538,532,88,-536870169
927181679,538,538,89,0
927181680,538,532,88,-536870169
927181681,538,532,88,-536870169
927181682,538,532,88,-536870169
927181683,538,538,89,0
927181684,538,532,88,-536870169
927181685,538,532,88,-536870169
927181686,538,532,88,-536870169
927181687,538,538,89,0
927181688,538,532,88,-536870169
927181689,538,532,88,-536870169
927181690,538,538,89,0
927181691,538,532,88,-536870169
927181692,538,532,88,-536870169
927181693,538,538,89,0
927181694,538,532,88,-536870169
927181695,538,532,88,-536870169
927181696,538,532,88,-536870169
927181697,538,538,89,0
927181698,538,532,88,-536870169
927181699,538,532,88,-536870169
927181700,538,532,88,-536870169
927181701,538,538,89,0
927181702,538,532,88,-536870169
927181703,538,532,88,-536870169
927181704,538,532,88,-536870169
927181705,538,532,88,-536870169
927181706,538,538,89,0
927181707,538,532,88,-536870169
927181708,538,532,88,-536870169
927181709,538,532,88,-536870169
927181710,538,532,88,-536870169
927181711,538,538,89,0
927181712,538,532,88,-536870169
927181713,538,532,88,-536870169
927181714,538,532,88,-536870169
927181715,538,538,89,0
927181716,538,532,88,-536870169
927181717,538,532,88,-536870169
927181718,538,532,88,-536870169
927181719,538,538,89,0
927181720,538,532,88,-536870169
927181721,538,532,88,-536870169
927181722,538,538,89,0
927181723,538,532,88,-536870169
927181724,538,532,88,-536870169
927181725,538,538,89,0
927181726,538,532,88,-536870169
927181727,538,532,88,-536870169
927181728,538,532,88,-536870169
927181729,538,538,89,0
927181730,538,532,88,-536870169
927181731,538,532,88,-536870169
927181732,538,532,88,-536870169
927181733,538,538,89,0
927181734,538,532,88,-536870169
927181735,538,532,88,-536870169
927181736,538,532,88,-536870169
927181737,538,532,88,-536870169
927181738,538,538,89,0
927181739,538,532,88,-536870169
927181740,538,532,88,-536870169
927181741,538,532,88,-536870169
927181742,538,532,88,-536870169
927181743,538,538,89,0
927181744,538,532,88,-536870169
927181745,538,532,88,-536870169
927181746,538,532,88,-536870169
927181747,538,538,89,0
927181748,538,532,88,-536870169
927181749,538,532,88,-536870169
927181750,538,532,88,-536870169
927181751,538,538,89,0
927181752,538,532,88,-536870169
927181753,538,532,88,-536870169
927181754,538,538,89,0
927181755,538,532,88,-536870169
927181756,538,532,88,-536870169
927181757,538,538,89,0
927181758,538,532,88,-536870169
927181759,538,532,88,-536870169
927181760,538,532,88,-536870169
927181761,538,538,89,0
927181762,538,532,88,-536870169
927181763,538,532,88,-536870169
927181764,538,532,88,-536870169
927181765,538,538,89,0
