# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=44100 alt=1 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927155545,274,0,0,-536870168
927155546,274,0,0,-536870168
927155547,274,264,44,-536870169
927155548,274,264,44,-536870169
927155549,274,264,44,-536870169
927155550,274,264,44,-536870169
927155551,274,264,44,-536870169
927155552,274,264,44,-536870169
927155553,274,264,44,-536870169
927155554,274,264,44,-536870169
927155555,274,264,44,-536870169
927155556,274,270,45,-536870169
927155557,274,264,44,-536870169
927155558,274,264,44,-536870169
927155559,274,264,44,-536870169
927155560,274,264,44,-536870169
927155561,274,264,44,-536870169
927155562,274,264,44,-536870169
927155563,274,264,44,-536870169
927155564,274,270,45,-536870169
927155565,274,264,44,-536870169
927155566,274,264,44,-536870169
927155567,274,264,44,-536870169
927155568,274,264,44,-536870169
927155569,274,270,45,-536870169
927155570,274,264,44,-536870169
927155571,274,264,44,-536870169
927155572,274,264,44,-536870169
927155573,274,264,44,-536870169
927155574,274,270,45,-536870169
927155575,274,264,44,-536870169
927155576,274,264,44,-536870169
927155577,274,264,44,-536870169
927155578,274,264,44,-536870169
927155579,274,270,45,-536870169
927155580,274,264,44,-536870169
927155581,274,264,44,-536870169
927155582,274,264,44,-536870169
927155583,274,264,44,-536870169
927155584,274,270,45,-536870169
927155585,274,264,44,-536870169
927155586,274,264,44,-536870169
927155587,274,264,44,-536870169
927155588,274,264,44,-536870169
927155589,274,270,45,-536870169
927155590,274,264,44,-536870169
927155591,274,264,44,-536870169
927155592,274,264,44,-536870169
927155593,274,264,44,-536870169
927155594,274,270,45,-536870169
927155595,274,264,44,-536870169
927155596,274,264,44,-536870169
927155597,274,264,44,-536870169
927155598,274,264,44,-536870169
927155599,274,270,45,-536870169
927155600,274,264,44,-536870169
927155601,274,264,44,-536870169
927155602,274,264,44,-536870169
927155603,274,264,44,-536870169
927155604,274,270,45,-536870169
927155605,274,264,44,-536870169
927155606,274,264,44,-536870169
927155607,274,264,44,-536870169
927155608,274,264,44,-536870169
927155609,274,270,45,-536870169
927155610,274,264,44,-536870169
927155611,274,264,44,-536870169
927155612,274,264,44,-536870169
927155613,274,264,44,-536870169
927155614,274,270,45,-536870169
927155615,274,264,44,-536870169
927155616,274,264,44,-536870169
927155617,274,264,44,-536870169
927155618,274,264,44,-536870169
927155619,274,270,45,-536870169
927155620,274,264,44,-536870169
927155621,274,264,44,-536870169
927155622,274,264,44,-536870169
927155623,274,264,44,-536870169
927155624,274,270,45,-536870169
927155625,274,264,44,-536870169
927155626,274,264,44,-536870169
927155627,274,264,44,-536870169
927155628,274,264,44,-536870169
927155629,274,270,45,-536870169
927155630,274,264,44,-536870169
927155631,274,264,44,-536870169
927155632,274,264,44,-536870169
927155633,274,264,44,-536870169
927155634,274,270,45,-536870169
927155635,274,264,44,-536870169
927155636,274,264,44,-536870169
927155637,274,264,44,-536870169
927155638,274,264,44,-536870169
927155639,274,270,45,-536870169
927155640,274,264,44,-536870169
927155641,274,264,44,-536870169
927155642,274,264,44,-536870169
927155643,274,264,44,-536870169
927155644,274,270,45,-536870169
927155645,274,264,44,-536870169
927155646,274,264,44,-536870169
927155647,274,264,44,-536870169
927155648,274,264,44,-536870169
927155649,274,270,45,-536870169
927155650,274,264,44,-536870169
927155651,274,264,44,-536870169
927155652,274,264,44,-536870169
927155653,274,264,44,-536870169
927155654,274,270,45,-536870169
927155655,274,264,44,-536870169
927155656,274,264,44,-536870169
927155657,274,264,44,-536870169
927155658,274,264,44,-536870169
927155659,274,270,45,-536870169
927155660,274,264,44,-536870169
927155661,274,264,44,-536870169
927155662,274,264,44,-536870169
927155663,274,264,44,-536870169
927155664,274,270,45,-536870169
927155665,274,264,44,-536870169
927155666,274,264,44,-536870169
927155667,274,264,44,-536870169
927155668,274,264,44,-536870169
927155669,274,270,45,-536870169
927155670,274,264,44,-536870169
927155671,274,264,44,-536870169
927155672,274,264,44,-536870169
927155673,274,264,44,-536870169
927155674,274,270,45,-536870169
927155675,274,264,44,-536870169
927155676,274,264,44,-536870169
927155677,274,264,44,-536870169
927155678,274,264,44,-536870169
927155679,274,270,45,-536870169
927155680,274,264,44,-536870169
927155681,274,264,44,-536870169
927155682,274,264,44,-536870169
927155683,274,264,44,-536870169
927155684,274,270,45,-536870169
927155685,274,264,44,-536870169
927155686,274,264,44,-536870169
927155687,274,264,44,-536870169
927155688,274,264,44,-536870169
927155689,274,270,45,-536870169
927155690,274,264,44,-536870169
927155691,274,264,44,-536870169
927155692,274,264,44,-536870169
927155693,274,264,44,-536870169
927155694,274,270,45,-536870169
927155695,274,264,44,-536870169
927155696,274,264,44,-536870169
927155697,274,264,44,-536870169
927155698,274,264,44,-536870169
927155699,274,270,45,-536870169
927155700,274,264,44,-536870169
927155701,274,264,44,-536870169
927155702,274,264,44,-536870169
927155703,274,264,44,-536870169
927155704,274,270,45,-536870169
927155705,274,264,44,-536870169
927155706,274,264,44,-536870169
927155707,274,264,44,-536870169
927155708,274,264,44,-536870169
927155709,274,270,45,-536870169
927155710,274,264,44,-536870169
927155711,274,264,44,-536870169
927155712,274,264,44,-536870169
927155713,274,264,44,-536870169
927155714,274,270,45,-536870169
927155715,274,264,44,-536870169
927155716,274,264,44,-536870169
927155717,274,264,44,-536870169
927155718,274,264,44,-536870169
927155719,274,270,45,-536870169
927155720,274,264,44,-536870169
927155721,274,264,44,-536870169
927155722,274,264,44,-536870169
927155723,274,264,44,-536870169
927155724,274,270,45,-536870169
927155725,274,264,44,-536870169
927155726,274,264,44,-536870169
927155727,274,264,44,-536870169
927155728,274,264,44,-536870169
927155729,274,270,45,-536870169
927155730,274,264,44,-536870169
927155731,274,264,44,-536870169
927155732,274,264,44,-536870169
927155733,274,264,44,-536870169
927155734,274,270,45,-536870169
927155735,274,264,44,-536870169
927155736,274,264,44,-536870169
927155737,274,264,44,-536870169
927155738,274,264,44,-536870169
927155739,274,270,45,-536870169
927155740,274,264,44,-536870169
927155741,274,264,44,-536870169
927155742,274,264,44,-536870169
927155743,274,264,44,-536870169
927155744,274,270,45,-536870169
927155745,274,264,44,-536870169
927155746,274,264,44,-536870169
927155747,274,264,44,-536870169
927155748,274,264,44,-536870169
927155749,274,270,45,-536870169
927155750,274,264,44,-536870169
927155751,274,264,44,-536870169
927155752,274,264,44,-536870169
927155753,274,264,44,-536870169
927155754,274,270,45,-536870169
927155755,274,264,44,-536870169
927155756,274,264,44,-536870169
927155757,274,264,44,-536870169
927155758,274,264,44,-536870169
927155759,274,270,45,-536870169
927155760,274,264,44,-536870169
927155761,274,264,44,-536870169
927155762,274,264,44,-536870169
927155763,274,264,44,-536870169
927155764,274,270,45,-536870169
927155765,274,264,44,-536870169
927155766,274,264,44,-536870169
927155767,274,264,44,-536870169
927155768,274,264,44,-536870169
927155769,274,270,45,-536870169
927155770,274,264,44,-536870169
927155771,274,264,44,-536870169
927155772,274,264,44,-536870169
927155773,274,264,44,-536870169
927155774,274,270,45,-536870169
927155775,274,264,44,-536870169
927155776,274,264,44,-536870169
927155777,274,264,44,-536870169
927155778,274,264,44,-536870169
927155779,274,270,45,-536870169
927155780,274,264,44,-536870169
927155781,274,264,44,-536870169
927155782,274,264,44,-536870169
927155783,274,264,44,-536870169
927155784,274,270,45,-536870169
927155785,274,264,44,-536870169
927155786,274,264,44,-536870169
927155787,274,264,44,-536870169
