# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=192000 alt=10 bInterval=3 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927188174,586,532,88,-536870169
927188175,586,532,88,-536870169
927188176,586,580,96,-536870169
927188177,586,580,96,-536870169
927188178,586,580,96,-536870169
927188179,586,580,96,-536870169
927188180,586,580,96,-536870169
927188181,586,580,96,-536870169
927188182,586,580,96,-536870169
927188183,586,580,96,-536870169
927188184,586,580,96,-536870169
927188185,586,580,96,-536870169
927188186,586,580,96,-536870169
927188187,586,580,96,-536870169
927188188,586,580,96,-536870169
927188189,586,580,96,-536870169
927188190,586,580,96,-536870169
927188191,586,580,96,-536870169
927188192,586,580,96,-536870169
927188193,586,580,96,-536870169
927188194,586,580,96,-536870169
927188195,586,580,96,-536870169
927188196,586,580,96,-536870169
927188197,586,580,96,-536870169
927188198,586,580,96,-536870169
927188199,586,580,96,-536870169
927188200,586,580,96,-536870169
927188201,586,580,96,-536870169
927188202,586,580,96,-536870169
927188203,586,580,96,-536870169
927188204,586,580,96,-536870169
927188205,586,580,96,-536870169
927188206,586,580,96,-536870169
927188207,586,580,96,-536870169
927188208,586,580,96,-536870169
927188209,586,580,96,-536870169
927188210,586,580,96,-536870169
927188211,586,580,96,-536870169
927188212,586,580,96,-536870169
927188213,586,580,96,-536870169
927188214,586,580,96,-536870169
927188215,586,580,96,-536870169
927188216,586,580,96,-536870169
927188217,586,580,96,-536870169
927188218,586,580,96,-536870169
927188219,586,580,96,-536870169
927188220,586,580,96,-536870169
927188221,586,580,96,-536870169
927188222,586,580,96,-536870169
927188223,586,580,96,-536870169
927188224,586,580,96,-536870169
927188225,586,580,96,-536870169
927188226,586,580,96,-536870169
927188227,586,580,96,-536870169
927188228,586,580,96,-536870169
927188229,586,580,96,-536870169
927188230,586,580,96,-536870169
927188231,586,580,96,-536870169
927188232,586,580,96,-536870169
927188233,586,580,96,-536870169
927188234,586,580,96,-536870169
927188235,586,580,96,-536870169
927188236,586,580,96,-536870169
927188237,586,580,96,-536870169
927188238,586,580,96,-536870169
927188239,586,580,96,-536870169
927188240,586,580,96,-536870169
927188241,586,580,96,-536870169
927188242,586,580,96,-536870169
927188243,586,580,96,-536870169
927188244,586,580,96,-536870169
927188245,586,580,96,-536870169
927188246,586,580,96,-536870169
927188247,586,580,96,-536870169
927188248,586,580,96,-536870169
927188249,586,580,96,-536870169
927188250,586,580,96,-536870169
927188251,586,580,96,-536870169
927188252,586,580,96,-536870169
927188253,586,580,96,-536870169
927188254,586,580,96,-536870169
927188255,586,580,96,-536870169
927188256,586,580,96,-536870169
927188257,586,580,96,-536870169
927188258,586,580,96,-536870169
927188259,586,580,96,-536870169
927188260,586,580,96,-536870169
927188261,586,580,96,-536870169
927188262,586,580,96,-536870169
927188263,586,580,96,-536870169
927188264,586,580,96,-536870169
927188265,586,580,96,-536870169
927188266,586,580,96,-536870169
927188267,586,580,96,-536870169
927188268,586,580,96,-536870169
927188269,586,580,96,-536870169
927188270,586,580,96,-536870169
927188271,586,580,96,-536870169
927188272,586,580,96,-536870169
927188273,586,580,96,-536870169
927188274,586,580,96,-536870169
927188275,586,580,96,-536870169
927188276,586,580,96,-536870169
927188277,586,580,96,-536870169
927188278,586,580,96,-536870169
927188279,586,580,96,-536870169
927188280,586,580,96,-536870169
927188281,586,580,96,-536870169
927188282,586,580,96,-536870169
927188283,586,580,96,-536870169
927188284,586,580,96,-536870169
927188285,586,580,96,-536870169
927188286,586,580,96,-536870169
927188287,586,580,96,-536870169
927188288,586,580,96,-536870169
927188289,586,580,96,-536870169
927188290,586,580,96,-536870169
927188291,586,580,96,-536870169
927188292,586,580,96,-536870169
927188293,586,580,96,-536870169
927188294,586,580,96,-536870169
927188295,586,580,96,-536870169
927188296,586,580,96,-536870169
927188297,586,580,96,-536870169
927188298,586,580,96,-536870169
927188299,586,580,96,-536870169
927188300,586,580,96,-536870169
927188301,586,580,96,-536870169
927188302,586,580,96,-536870169
927188303,586,580,96,-536870169
927188304,586,580,96,-536870169
927188305,586,580,96,-536870169
927188306,586,580,96,-536870169
927188307,586,580,96,-536870169
927188308,586,580,96,-536870169
927188309,586,580,96,-536870169
927188310,586,580,96,-536870169
927188311,586,580,96,-536870169
927188312,586,580,96,-536870169
927188313,586,580,96,-536870169
927188314,586,580,96,-536870169
927188315,586,580,96,-536870169
927188316,586,580,96,-536870169
927188317,586,580,96,-536870169
927188318,586,580,96,-536870169
927188319,586,580,96,-536870169
927188320,586,580,96,-536870169
927188321,586,580,96,-536870169
927188322,586,580,96,-536870169
927188323,586,580,96,-536870169
927188324,586,580,96,-536870169
927188325,586,580,96,-536870169
927188326,586,580,96,-536870169
927188327,586,580,96,-536870169
927188328,586,580,96,-536870169
927188329,586,580,96,-536870169
927188330,586,580,96,-536870169
927188331,586,580,96,-536870169
