# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=48000 alt=3 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927162074,298,270,45,-536870169
927162075,298,264,44,-536870169
927162076,298,288,48,-536870169
927162077,298,288,48,-536870169
927162078,298,288,48,-536870169
927162079,298,288,48,-536870169
927162080,298,288,48,-536870169
927162081,298,288,48,-536870169
927162082,298,288,48,-536870169
927162083,298,288,48,-536870169
927162084,298,288,48,-536870169
927162085,298,288,48,-536870169
927162086,298,288,48,-536870169
927162087,298,288,48,-536870169
927162088,298,288,48,-536870169
927162089,298,288,48,-536870169
927162090,298,288,48,-536870169
927162091,298,288,48,-536870169
927162092,298,288,48,-536870169
927162093,298,288,48,-536870169
927162094,298,288,48,-536870169
927162095,298,288,48,-536870169
927162096,298,288,48,-536870169
927162097,298,288,48,-536870169
927162098,298,288,48,-536870169
927162099,298,288,48,-536870169
927162100,298,288,48,-536870169
927162101,298,288,48,-536870169
927162102,298,288,48,-536870169
927162103,298,288,48,-536870169
927162104,298,288,48,-536870169
927162105,298,288,48,-536870169
927162106,298,288,48,-536870169
927162107,298,288,48,-536870169
927162108,298,288,48,-536870169
927162109,298,288,48,-536870169
927162110,298,288,48,-536870169
927162111,298,288,48,-536870169
927162112,298,288,48,-536870169
927162113,298,288,48,-536870169
927162114,298,288,48,-536870169
927162115,298,288,48,-536870169
927162116,298,288,48,-536870169
927162117,298,282,47,-536870169
927162118,298,288,48,-536870169
927162119,298,288,48,-536870169
927162120,298,288,48,-536870169
927162121,298,288,48,-536870169
927162122,298,288,48,-536870169
927162123,298,288,48,-536870169
927162124,298,288,48,-536870169
927162125,298,288,48,-536870169
927162126,298,288,48,-536870169
927162127,298,282,47,-536870169
927162128,298,288,48,-536870169
927162129,298,288,48,-536870169
927162130,298,288,48,-536870169
927162131,298,288,48,-536870169
927162132,298,288,48,-536870169
927162133,298,288,48,-536870169
927162134,298,288,48,-536870169
927162135,298,288,48,-536870169
927162136,298,288,48,-536870169
927162137,298,282,47,-536870169
927162138,298,288,48,-536870169
927162139,298,288,48,-536870169
927162140,298,288,48,-536870169
927162141,298,288,48,-536870169
927162142,298,288,48,-536870169
927162143,298,288,48,-536870169
927162144,298,288,48,-536870169
927162145,298,288,48,-536870169
927162146,298,288,48,-536870169
927162147,298,288,48,-536870169
927162148,298,288,48,-536870169
927162149,298,288,48,-536870169
927162150,298,288,48,-536870169
927162151,298,288,48,-536870169
927162152,298,288,48,-536870169
927162153,298,288,48,-536870169
927162154,298,288,48,-536870169
927162155,298,288,48,-536870169
