# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=88200 alt=5 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927168598,538,288,48,-536870169
927168599,538,288,48,-536870169
927168600,538,528,88,-536870169
927168601,538,528,88,-536870169
927168602,538,528,88,-536870169
927168603,538,528,88,-536870169
927168604,538,534,89,-536870169
927168605,538,528,88,-536870169
927168606,538,528,88,-536870169
927168607,538,528,88,-536870169
927168608,538,528,88,-536870169
927168609,538,534,89,-536870169
927168610,538,528,88,-536870169
927168611,538,528,88,-536870169
927168612,538,528,88,-536870169
927168613,538,528,88,-536870169
927168614,538,534,89,-536870169
927168615,538,528,88,-536870169
927168616,538,528,88,-536870169
927168617,538,528,88,-536870169
927168618,538,528,88,-536870169
927168619,538,534,89,-536870169
927168620,538,528,88,-536870169
927168621,538,528,88,-536870169
927168622,538,528,88,-536870169
927168623,538,528,88,-536870169
927168624,538,534,89,-536870169
927168625,538,528,88,-536870169
927168626,538,528,88,-536870169
927168627,538,528,88,-536870169
927168628,538,528,88,-536870169
927168629,538,534,89,-536870169
927168630,538,528,88,-536870169
927168631,538,528,88,-536870169
927168632,538,528,88,-536870169
927168633,538,534,89,-536870169
927168634,538,528,88,-536870169
927168635,538,528,88,-536870169
927168636,538,528,88,-536870169
927168637,538,534,89,-536870169
927168638,538,528,88,-536870169
927168639,538,528,88,-536870169
927168640,538,534,89,-536870169
927168641,538,528,88,-536870169
927168642,538,528,88,-536870169
927168643,538,534,89,-536870169
927168644,538,528,88,-536870169
927168645,538,528,88,-536870169
927168646,538,528,88,-536870169
927168647,538,534,89,-536870169
927168648,538,528,88,-536870169
927168649,538,528,88,-536870169
927168650,538,534,89,-536870169
927168651,538,528,88,-536870169
927168652,538,528,88,-536870169
927168653,538,534,89,-536870169
927168654,538,528,88,-536870169
927168655,538,528,88,-536870169
927168656,538,528,88,-536870169
927168657,538,534,89,-536870169
927168658,538,528,88,-536870169
927168659,538,528,88,-536870169
927168660,538,534,89,-536870169
927168661,538,528,88,-536870169
927168662,538,528,88,-536870169
927168663,538,534,89,-536870169
927168664,538,528,88,-536870169
927168665,538,528,88,-536870169
927168666,538,528,88,-536870169
927168667,538,534,89,-536870169
927168668,538,528,88,-536870169
927168669,538,528,88,-536870169
927168670,538,534,89,-536870169
927168671,538,528,88,-536870169
927168672,538,528,88,-536870169
927168673,538,534,89,-536870169
927168674,538,528,88,-536870169
927168675,538,528,88,-536870169
927168676,538,528,88,-536870169
927168677,538,534,89,-536870169
927168678,538,528,88,-536870169
927168679,538,528,88,-536870169
927168680,538,534,89,-536870169
927168681,538,528,88,-536870169
927168682,538,528,88,-536870169
927168683,538,534,89,-536870169
927168684,538,528,88,-536870169
927168685,538,528,88,-536870169
927168686,538,528,88,-536870169
927168687,538,534,89,-536870169
927168688,538,528,88,-536870169
927168689,538,528,88,-536870169
