# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=48000 alt=3 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
948064964,298,294,49,-536870169
948064965,298,288,48,-536870169
948064966,298,288,48,-536870169
948064967,298,288,48,-536870169
948064968,298,288,48,-536870169
948064969,298,288,48,-536870169
948064970,298,288,48,-536870169
948064971,298,288,48,-536870169
948064972,298,288,48,-536870169
948064973,298,288,48,-536870169
948064974,298,294,49,-536870169
948064975,298,288,48,-536870169
948064976,298,288,48,-536870169
948064977,298,288,48,-536870169
948064978,298,288,48,-536870169
948064979,298,288,48,-536870169
948064980,298,288,48,-536870169
948064981,298,288,48,-536870169
948064982,298,288,48,-536870169
948064983,298,288,48,-536870169
948064984,298,294,49,-536870169
948064985,298,288,48,-536870169
948064986,298,288,48,-536870169
948064987,298,288,48,-536870169
948064988,298,288,48,-536870169
948064989,298,288,48,-536870169
948064990,298,288,48,-536870169
948064991,298,288,48,-536870169
948064992,298,288,48,-536870169
948064993,298,288,48,-536870169
948064994,298,294,49,-536870169
948064995,298,288,48,-536870169
948064996,298,288,48,-536870169
948064997,298,288,48,-536870169
948064998,298,288,48,-536870169
948064999,298,288,48,-536870169
948065000,298,288,48,-536870169
948065001,298,288,48,-536870169
948065002,298,288,48,-536870169
948065003,298,288,48,-536870169
948065004,298,294,49,-536870169
948065005,298,288,48,-536870169
948065006,298,288,48,-536870169
948065007,298,288,48,-536870169
948065008,298,288,48,-536870169
948065009,298,288,48,-536870169
948065010,298,288,48,-536870169
948065011,298,288,48,-536870169
948065012,298,288,48,-536870169
948065013,298,288,48,-536870169
948065014,298,294,49,-536870169
948065015,298,288,48,-536870169
948065016,298,288,48,-536870169
948065017,298,288,48,-536870169
948065018,298,288,48,-536870169
948065019,298,288,48,-536870169
948065020,298,288,48,-536870169
948065021,298,288,48,-536870169
948065022,298,288,48,-536870169
948065023,298,288,48,-536870169
948065024,298,294,49,-536870169
948065025,298,288,48,-536870169
948065026,298,288,48,-536870169
948065027,298,288,48,-536870169
948065028,298,288,48,-536870169
948065029,298,288,48,-536870169
948065030,298,288,48,-536870169
948065031,298,288,48,-536870169
948065032,298,288,48,-536870169
948065033,298,288,48,-536870169
948065034,298,294,49,-536870169
948065035,298,288,48,-536870169
948065036,298,288,48,-536870169
948065037,298,288,48,-536870169
948065038,298,288,48,-536870169
948065039,298,288,48,-536870169
948065040,298,288,48,-536870169
948065041,298,288,48,-536870169
948065042,298,288,48,-536870169
948065043,298,288,48,-536870169
948065044,298,294,49,-536870169
948065045,298,288,48,-536870169
948065046,298,288,48,-536870169
948065047,298,288,48,-536870169
948065048,298,288,48,-536870169
948065049,298,288,48,-536870169
948065050,298,288,48,-536870169
948065051,298,288,48,-536870169
948065052,298,288,48,-536870169
948065053,298,288,48,-536870169
948065054,298,294,49,-536870169
948065055,298,288,48,-536870169
948065056,298,288,48,-536870169
948065057,298,288,48,-536870169
948065058,298,288,48,-536870169
948065059,298,288,48,-536870169
948065060,298,288,48,-536870169
948065061,298,288,48,-536870169
948065062,298,288,48,-536870169
948065063,298,288,48,-536870169
948065064,298,294,49,-536870169
948065065,298,288,48,-536870169
948065066,298,288,48,-536870169
948065067,298,288,48,-536870169
948065068,298,288,48,-536870169
948065069,298,288,48,-536870169
948065070,298,288,48,-536870169
948065071,298,288,48,-536870169
948065072,298,288,48,-536870169
948065073,298,288,48,-536870169
948065074,298,294,49,-536870169
948065075,298,288,48,-536870169
948065076,298,288,48,-536870169
948065077,298,288,48,-536870169
948065078,298,288,48,-536870169
948065079,298,288,48,-536870169
948065080,298,288,48,-536870169
948065081,298,288,48,-536870169
948065082,298,288,48,-536870169
948065083,298,288,48,-536870169
948065084,298,294,49,-536870169
948065085,298,288,48,-536870169
948065086,298,288,48,-536870169
948065087,298,288,48,-536870169
948065088,298,288,48,-536870169
948065089,298,288,48,-536870169
948065090,298,288,48,-536870169
948065091,298,288,48,-536870169
948065092,298,288,48,-536870169
948065093,298,288,48,-536870169
948065094,298,294,49,-536870169
948065095,298,288,48,-536870169
948065096,298,288,48,-536870169
948065097,298,288,48,-536870169
948065098,298,288,48,-536870169
948065099,298,288,48,-536870169
948065100,298,288,48,-536870169
948065101,298,288,48,-536870169
948065102,298,288,48,-536870169
948065103,298,288,48,-536870169
948065104,298,294,49,-536870169
948065105,298,288,48,-536870169
948065106,298,288,48,-536870169
948065107,298,288,48,-536870169
948065108,298,288,48,-536870169
948065109,298,288,48,-536870169
948065110,298,288,48,-536870169
948065111,298,288,48,-536870169
948065112,298,288,48,-536870169
948065113,298,288,48,-536870169
948065114,298,294,49,-536870169
948065115,298,288,48,-536870169
948065116,298,288,48,-536870169
948065117,298,288,48,-536870169
948065118,298,288,48,-536870169
948065119,298,288,48,-536870169
948065120,298,288,48,-536870169
948065121,298,288,48,-536870169
948065122,298,288,48,-536870169
948065123,298,288,48,-536870169
948065124,298,294,49,-536870169
948065125,298,288,48,-536870169
948065126,298,288,48,-536870169
948065127,298,288,48,-536870169
948065128,298,288,48,-536870169
948065129,298,288,48,-536870169
948065130,298,288,48,-536870169
948065131,298,288,48,-536870169
948065132,298,288,48,-536870169
948065133,298,288,48,-536870169
948065134,298,294,49,-536870169
948065135,298,288,48,-536870169
948065136,298,288,48,-536870169
948065137,298,288,48,-536870169
948065138,298,288,48,-536870169
948065139,298,288,48,-536870169
948065140,298,288,48,-536870169
948065141,298,288,48,-536870169
948065142,298,288,48,-536870169
948065143,298,288,48,-536870169
948065144,298,294,49,-536870169
948065145,298,288,48,-536870169
948065146,298,288,48,-536870169
948065147,298,288,48,-536870169
948065148,298,288,48,-536870169
948065149,298,288,48,-536870169
948065150,298,288,48,-536870169
948065151,298,288,48,-536870169
948065152,298,288,48,-536870169
948065153,298,288,48,-536870169
948065154,298,294,49,-536870169
948065155,298,288,48,-536870169
948065156,298,288,48,-536870169
948065157,298,288,48,-536870169
948065158,298,288,48,-536870169
948065159,298,288,48,-536870169
948065160,298,288,48,-536870169
948065161,298,288,48,-536870169
948065162,298,288,48,-536870169
948065163,298,288,48,-536870169
948065164,298,294,49,-536870169
948065165,298,288,48,-536870169
948065166,298,288,48,-536870169
948065167,298,288,48,-536870169
948065168,298,288,48,-536870169
948065169,298,288,48,-536870169
948065170,298,288,48,-536870169
948065171,298,288,48,-536870169
948065172,298,288,48,-536870169
948065173,298,288,48,-536870169
948065174,298,294,49,-536870169
948065175,298,288,48,-536870169
948065176,298,288,48,-536870169
948065177,298,288,48,-536870169
948065178,298,288,48,-536870169
948065179,298,288,48,-536870169
948065180,298,288,48,-536870169
948065181,298,288,48,-536870169
948065182,298,288,48,-536870169
948065183,298,288,48,-536870169
948065184,298,294,49,-536870169
948065185,298,288,48,-536870169
948065186,298,288,48,-536870169
948065187,298,288,48,-536870169
948065188,298,288,48,-536870169
948065189,298,288,48,-536870169
948065190,298,288,48,-536870169
948065191,298,288,48,-536870169
948065192,298,288,48,-536870169
948065193,298,288,48,-536870169
948065194,298,294,49,-536870169
948065195,298,288,48,-536870169
948065196,298,288,48,-536870169
948065197,298,288,48,-536870169
948065198,298,288,48,-536870169
948065199,298,288,48,-536870169
948065200,298,288,48,-536870169
948065201,298,288,48,-536870169
948065202,298,288,48,-536870169
948065203,298,288,48,-536870169
948065204,298,294,49,-536870169
948065205,298,288,48,-536870169
948065206,298,288,48,-536870169
948065207,298,288,48,-536870169
948065208,298,288,48,-536870169
948065209,298,288,48,-536870169
948065210,298,288,48,-536870169
948065211,298,288,48,-536870169
948065212,298,288,48,-536870169
948065213,298,288,48,-536870169
948065214,298,294,49,-536870169
948065215,298,288,48,-536870169
948065216,298,288,48,-536870169
948065217,298,288,48,-536870169
948065218,298,288,48,-536870169
948065219,298,288,48,-536870169
948065220,298,288,48,-536870169
948065221,298,288,48,-536870169
948065222,298,288,48,-536870169
948065223,298,288,48,-536870169
948065224,298,294,49,-536870169
948065225,298,288,48,-536870169
948065226,298,288,48,-536870169
948065227,298,288,48,-536870169
948065228,298,288,48,-536870169
948065229,298,288,48,-536870169
948065230,298,288,48,-536870169
948065231,298,288,48,-536870169
948065232,298,288,48,-536870169
948065233,298,288,48,-536870169
948065234,298,294,49,-536870169
948065235,298,288,48,-536870169
948065236,298,288,48,-536870169
948065237,298,288,48,-536870169
948065238,298,288,48,-536870169
948065239,298,288,48,-536870169
948065240,298,288,48,-536870169
948065241,298,288,48,-536870169
948065242,298,288,48,-536870169
948065243,298,288,48,-536870169
948065244,298,294,49,-536870169
948065245,298,288,48,-536870169
948065246,298,288,48,-536870169
948065247,298,288,48,-536870169
948065248,298,288,48,-536870169
948065249,298,288,48,-536870169
948065250,298,288,48,-536870169
948065251,298,288,48,-536870169
948065252,298,288,48,-536870169
948065253,298,288,48,-536870169
948065254,298,294,49,-536870169
948065255,298,288,48,-536870169
948065256,298,288,48,-536870169
948065257,298,288,48,-536870169
948065258,298,288,48,-536870169
948065259,298,288,48,-536870169
948065260,298,288,48,-536870169
948065261,298,288,48,-536870169
948065262,298,288,48,-536870169
948065263,298,288,48,-536870169
948065264,298,294,49,-536870169
948065265,298,288,48,-536870169
948065266,298,288,48,-536870169
948065267,298,288,48,-536870169
948065268,298,288,48,-536870169
948065269,298,288,48,-536870169
